4046,4225,4770,AveragePrice,Date,Large Bags,Small Bags,Total Bags,Total Volume,Unnamed: 0,XLarge Bags,region,type,year
1036.74,54454.85,48.16,1.33,12/27/2015,93.25,8603.62,8696.87,64236.62,0.0,0.0,Albany,Conventional,2015
674.28,44638.81,58.33,1.35,12/20/2015,97.49,9408.07,9505.56,54876.98,1.0,0.0,Albany,Conventional,2015
794.7,109149.67,130.5,0.93,12/13/2015,103.14,8042.21,8145.35,118220.22,2.0,0.0,Albany,Conventional,2015
1132.0,71976.41,72.58,1.08,12/6/2015,133.76,5677.4,5811.16,78992.15,3.0,0.0,Albany,Conventional,2015
941.48,43838.39,75.78,1.28,11/29/2015,197.69,5986.26,6183.95,51039.6,4.0,0.0,Albany,Conventional,2015
1184.27,48067.99,43.61,1.26,11/22/2015,127.44,6556.47,6683.91,55979.78,5.0,0.0,Albany,Conventional,2015
1368.92,73672.72,93.26,0.99,11/15/2015,122.05,8196.81,8318.86,83453.76,6.0,0.0,Albany,Conventional,2015
703.75,101815.36,80.0,0.98,11/8/2015,562.37,6266.85,6829.22,109428.33,7.0,0.0,Albany,Conventional,2015
1022.15,87315.57,85.34,1.02,11/1/2015,283.83,11104.53,11388.36,99811.42,8.0,0.0,Albany,Conventional,2015
842.4,64757.44,113.0,1.07,10/25/2015,564.45,8061.47,8625.92,74338.76,9.0,0.0,Albany,Conventional,2015
924.86,75595.85,117.07,1.12,10/18/2015,327.8,7877.86,8205.66,84843.44,10.0,0.0,Albany,Conventional,2015
1582.03,52677.92,105.32,1.28,10/11/2015,257.63,9866.27,10123.9,64489.17,11.0,0.0,Albany,Conventional,2015
2268.32,49880.67,101.36,1.31,10/4/2015,376.77,8379.98,8756.75,61007.1,12.0,0.0,Albany,Conventional,2015
1204.88,99409.21,154.84,0.99,9/27/2015,145.59,5888.87,6034.46,106803.39,13.0,0.0,Albany,Conventional,2015
1028.03,59313.12,150.5,1.33,9/20/2015,778.26,8489.1,9267.36,69759.01,14.0,0.0,Albany,Conventional,2015
985.73,65696.86,142.0,1.28,9/13/2015,621.49,8665.19,9286.68,76111.27,15.0,0.0,Albany,Conventional,2015
879.45,90062.62,240.79,1.11,9/6/2015,227.23,7762.87,7990.1,99172.96,16.0,0.0,Albany,Conventional,2015
689.01,94362.67,335.43,1.07,8/30/2015,87.8,10218.93,10306.73,105693.84,17.0,0.0,Albany,Conventional,2015
733.16,67933.79,444.78,1.34,8/23/2015,134.57,10745.79,10880.36,79992.09,18.0,0.0,Albany,Conventional,2015
